Title,Link,Company,Date
Python Developer,https://rabota.by/vacancy/39961493?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,LeverX International,2020-12-24 00:00:00
Python Developer,https://rabota.by/vacancy/38850307?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,УП Руна Системс,2020-12-22 00:00:00
Senior Python Developer,https://rabota.by/vacancy/41173956?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,RocketData,2020-12-28 00:00:00
Python developer,https://hh.ru/vacancy/40447045?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,B2Broker Москва,2020-12-27 00:00:00
Стажер/Big Data Engineer,https://rabota.by/vacancy/40809919?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,ISsoft Solutions,2020-12-28 00:00:00
Middle Python Developer,https://rabota.by/vacancy/41173968?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,RocketData,2020-12-28 00:00:00
Python Developer,https://rabota.by/vacancy/40994227?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,ООО Сампад,2020-12-27 00:00:00
Python developer,https://rabota.by/vacancy/40040707?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,Innowise Group / Фабрика инноваций и решений,2020-12-25 00:00:00
Python Developer,https://rabota.by/vacancy/41034970?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,APPSULOVE,2020-12-28 00:00:00
Python developer,https://hh.ru/vacancy/41055043?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,ООО Бизнес солюшинс лаб,2020-12-26 00:00:00
Junior Python developer,https://rabota.by/vacancy/41149121?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,ЗАО Научсофт,2020-12-24 00:00:00
Middle Python Developer,https://rabota.by/vacancy/40994224?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,ООО Сампад,2020-12-27 00:00:00
Web-разработчик,https://rabota.by/vacancy/41058450?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,ООО Блэк Беар,2020-12-26 00:00:00
Middle Python Developer,https://rabota.by/vacancy/40268262?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,Иностр. п. Admitad,2020-12-27 00:00:00
Team Lead/Python developer,https://rabota.by/vacancy/40175136?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,Иностр. п. Admitad,2020-12-26 00:00:00
Senior Python Developer,https://rabota.by/vacancy/40268268?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,Иностр. п. Admitad,2020-12-27 00:00:00
Python Middle+ Программист,https://rabota.by/vacancy/40808906?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,ООО Неро Электроникс,2020-12-28 00:00:00
Web-разработчик / Full-stack Web-developer (Фулстек разработчик),https://rabota.by/vacancy/41058832?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,ООО Веб Фокус,2020-12-26 00:00:00
JS Developer,https://rabota.by/vacancy/40701173?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,ООО Смарт Апп Технолоджи лимитед,2020-12-27 00:00:00
Junior Python Developer (Trainee/Students Lab),https://rabota.by/vacancy/40806625?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,iTechArt Group,2020-12-23 00:00:00
Python Engineer,https://rabota.by/vacancy/41176453?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,ООО Инспекторио Бел,2020-12-28 00:00:00
Python Developer,https://rabota.by/vacancy/41129180?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,IBA Group,2020-12-23 00:00:00
Python (PyTorch) Developer,https://rabota.by/vacancy/41110646?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,Andersen,2020-12-22 00:00:00
Data Scientist,https://rabota.by/vacancy/40757554?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,ООО Визутех Плейтинг,2020-12-26 00:00:00
Backend Developer (Game Services),https://rabota.by/vacancy/39478591?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,ООО Вайзор Геймз,2020-12-22 00:00:00
Python Developer,https://rabota.by/vacancy/39892371?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,Девхаб,2020-12-18 00:00:00
Python developer,https://hh.ru/vacancy/41076503?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,2Relocate.com,2020-12-19 00:00:00
